,1,2,3,4,5,6
0,"Meet at the Dillon Drive entrance, West Side","Group name:
Bayonne Women's Walking/Hiking Group • Bayonne, NJ","TUE, MAY 17 · 2:00 PM UTC+2",1 attendee,No place left,https://www.meetup.com/bayonne-walking-meetup-group/events/285932271
1,CryptoMondays & DGH Events Networking After Party at The Security Token Summit,"Group name:
CryptoMondays NYC • New York, NY","TUE, MAY 17 · 12:00 AM UTC+2",300 attendees,No place left,https://www.meetup.com/cryptomondaysnyc/events/285443224
2,Create an (ETH) ERC-20 Based Token,"Group name:
NYC Developing Crypto and the Blockchain • New York, NY","TUE, MAY 17 · 12:30 AM UTC+2",88 attendees,No place left,https://www.meetup.com/nyc-developing-crypto-and-the-blockchain/events/284003922
3,Building a Modern Data Analytics Stack in an hour (online),"Group name:
Data Workshops • New York, NY","TUE, MAY 17 · 12:30 AM UTC+2",54 attendees,No place left,https://www.meetup.com/Data-Workshops/events/285801814
4,"Learn You Github Actions, Then Portfolio SECRETS!","Group name:
NYC Bootcampers Anonymous • New York, NY","TUE, MAY 17 · 12:30 AM UTC+2",84 attendees,No place left,https://www.meetup.com/NYC-Bootcampers-Anonymous/events/284938432
5,Session 1 for Finding DND Friends,"Group name:
Free DND (please be nice) • New York, NY","TUE, MAY 17 · 1:00 AM UTC+2",22 attendees,No place left,https://www.meetup.com/free-dnd-please-be-nice/events/285811423
6,''DANCE TO YOUR OWN DRUM BEAT'' - LUNAR ECLIPSE DANCE PRACTICE,"Group name:
Shamanic Club • Edgewater, NJ","TUE, MAY 17 · 1:00 AM UTC+2",38 attendees,No place left,https://www.meetup.com/Edgewater-ShamanicClub/events/285659264
7,Draw Together at Radegast Hall,"Group name:
Williamsburg Art Club • New York, NY","TUE, MAY 17 · 1:00 AM UTC+2",13 attendees,No place left,https://www.meetup.com/williamsburg-art-club/events/285860364
8,Brooklyn Heights Women's Book Club Monthly Meetup,"Group name:
Brooklyn Heights Women's Book Club • Brooklyn, NY","TUE, MAY 17 · 1:00 AM UTC+2",6 attendees,9 spots left,https://www.meetup.com/Brooklyn-Heights-Book-Club/events/282915953
9,HWU Community Writing Session,"Group name:
Harlem Writers United • New York, NY","TUE, MAY 17 · 1:00 AM UTC+2",2 attendees,No place left,https://www.meetup.com/hwunited/events/285486402
10,Monday Night Mechs #009: The Battle of Tukayyid,"Group name:
Brooklyn Battletech • Brooklyn, NY","TUE, MAY 17 · 1:00 AM UTC+2",4 attendees,No place left,https://www.meetup.com/Brooklyn-Battletech-Meetup/events/285074336
11,Switch your Career to UX Design,"Group name:
Mento Design Academy Group • New York, NY","TUE, MAY 17 · 6:00 PM UTC+2",146 attendees,No place left,https://www.meetup.com/mento-design-academy-group/events/285504755
12,Introduction to Python,"Group name:
Code Labs Academy NYC - Coding Bootcamp • New York, NY","TUE, MAY 17 · 6:00 PM UTC+2",53 attendees,No place left,https://www.meetup.com/code-labs-academy-nyc-coding-bootcamp/events/285541983
13,"Greg Brougham - Transformation, Is it a Thing?","Group name:
The Complexity Lounge • New York, NY","TUE, MAY 17 · 6:00 PM UTC+2",44 attendees,No place left,https://www.meetup.com/Complexity-Lounge/events/285677058
14,Microsoft Teams Rooms – Extending your teams journey into shared spaces,"Group name:
NYC Teams Tuesday • New York, NY","TUE, MAY 17 · 6:15 PM UTC+2",12 attendees,No place left,https://www.meetup.com/NYC-Teams-Tuesday/events/285231125
15,IN-PERSON in Prospect Park,"Group name:
Old, Weird & Don't Care Who Knows It • Brooklyn, NY","TUE, MAY 17 · 8:00 PM UTC+2",8 attendees,No place left,https://www.meetup.com/Old-Weird-Dont-Care-Who-Knows-It/events/285576064
16,Spanish and English FREE Dual Language Learning Hour,"Group name:
Double Talkers: 2 Become Bilingual • New York, NY","TUE, MAY 17 · 11:00 PM UTC+2",14 attendees,8 spots left,https://www.meetup.com/DoubleTalkers/events/285576479
17,"Discuss ""The Dakota Winters"" IN PERSON!","Group name:
Women's 'Novels of New York' Book Club • New York, NY","WED, MAY 18 · 12:00 AM UTC+2",22 attendees,No place left,https://www.meetup.com/NovelsOfNewYork/events/285114226
18,The Basics of UX UI Design,"Group name:
Ironhack New York - Tech Careers, Learning and Networking • New York, NY","WED, MAY 18 · 12:00 AM UTC+2",39 attendees,No place left,https://www.meetup.com/ironhack-new-york-tech-careers-learning-and-networking/events/285552721
19,Bitcoin Happy Hour,"Group name:
Blockchain Center • New York, NY","WED, MAY 18 · 12:00 AM UTC+2",65 attendees,No place left,https://www.meetup.com/blockchaincenter/events/284821234
20,Talk & Discussion: Accessibility 201 – Design Maturity Models,"Group name:
SDN New York Chapter (NYC Service Design Collective) • New York, NY","WED, MAY 18 · 12:00 AM UTC+2",24 attendees,No place left,https://www.meetup.com/sdnnyc/events/285697095
21,Weimar Berlin Cabaret show,"Group name:
Fabulous females seeking female friends over 50 for events • New York, NY","WED, MAY 18 · 12:20 AM UTC+2",7 attendees,1 spot left,https://www.meetup.com/fabulous-females-over-50-seekingFemalefriendsforevents/events/285153161
22,Micro Gathering,"Group name:
Tribes of Humanity • Brooklyn, NY","WED, MAY 18 · 12:30 AM UTC+2",4 attendees,No place left,https://www.meetup.com/tribes-of-humanity/events/285676976
23,Veil of Maya & Born of Osiris,"Group name:
Let's Go to Metal Shows • New York, NY","WED, MAY 18 · 12:30 AM UTC+2",4 attendees,7 spots left,https://www.meetup.com/lets-go-to-metal-shows/events/285489455
24,FREE Workshop on QA Automation,"Group name:
NYC: Tech Career in QA Automation and Product Management • New York, NY","WED, MAY 18 · 12:30 AM UTC+2",24 attendees,1 spot left,https://www.meetup.com/qa-productmanagement-boot-camp/events/285740652
25,Low-key Poetry Writing & Drinks Meetup (All NY Poets are Welcome)!,"Group name:
Poets of Queens NEW • Astoria, NY","WED, MAY 18 · 1:00 AM UTC+2",10 attendees,No place left,https://www.meetup.com/poets-of-queens-new/events/284865544
26,Lower East Side Socialist Monthly Meeting,"Group name:
Manhattan Socialists • New York, NY","WED, MAY 18 · 1:00 AM UTC+2",8 attendees,No place left,https://www.meetup.com/manhattan-socialists/events/285384295
27,"Deficits, Debt, and Drinks","Group name:
NYC Deficit Owls (MMT) • New York, NY","WED, MAY 18 · 1:00 AM UTC+2",6 attendees,No place left,https://www.meetup.com/Modern-Monetary-Theory-in-New-York-City/events/285322240
28,The All Star Comedy Show- A stand Up comedy show tor City Harvest!,"Group name:
New York City All Star Stand Up Comedy Show Meetup Group • New York, NY","WED, MAY 18 · 1:00 AM UTC+2",2 attendees,No place left,https://www.meetup.com/new-york-city-all-star-stand-up-comedy-show-meetup-group/events/285550909
29,Tuesday night climb at Cliffs Gowanus(+ drinks @ Wild East),"Group name:
Rock Climb + Chill in Brooklyn • Brooklyn, NY","WED, MAY 18 · 1:00 AM UTC+2",20 attendees,No place left,https://www.meetup.com/Casual-Rock-Climbing/events/285731649
30,Online Real Estate Investing,"Group name:
Queens Investing Meetup Group • Whitestone, NY","WED, MAY 18 · 1:00 AM UTC+2",27 attendees,No place left,https://www.meetup.com/Queens-Investing-Meetup-Group/events/285553741
31,What You Need to Know about OCD and the Nice Guy Syndrome,"Group name:
Integrated Men - New York • Brooklyn, NY","WED, MAY 18 · 2:00 AM UTC+2",15 attendees,No place left,https://www.meetup.com/integrated-men-new-york/events/285287434
32,Learn English in New York Manhattan !,"Group name:
Learn English in New York Manhattan • New York, NY","WED, MAY 18 · 3:00 PM UTC+2",28 attendees,No place left,https://www.meetup.com/manhattan-english-as-a-second-language-meetup-group/events/285406403
33,The ML Data Engineering Conference,"Group name:
NYC AI/ML/Data Developers Group • New York, NY","WED, MAY 18 · 5:00 PM UTC+2",649 attendees,No place left,https://www.meetup.com/aittg-nyc/events/284937857
34,Young Professional's Networking Gathering,"Group name:
Young Professional's New to NYC • New York, NY","WED, MAY 18 · 11:00 PM UTC+2",129 attendees,No place left,https://www.meetup.com/young-professionals-new-to-nyc/events/285529628
35,Working with Large Datasets as a Data Scientist (with Python),"Group name:
New York R User Group • New York, NY","WED, MAY 18 · 11:00 PM UTC+2",25 attendees,No place left,https://www.meetup.com/New-York-R-Users-Group/events/285591596
36,Tech Professionals After Work Happy Hour,"Group name:
NY Tech Happy Hour • New York, NY","WED, MAY 18 · 11:00 PM UTC+2",41 attendees,No place left,https://www.meetup.com/meetup-group-grbqwgeh/events/285529575
37,May Intermediate-Advanced Amazons Sellers Meetup - WE ARE BACK!!,"Group name:
New York Amazon Seller Meetup • New York, NY","THU, MAY 19 · 12:00 AM UTC+2",66 attendees,No place left,https://www.meetup.com/New-York-Amazon-Seller-Meetup/events/285392466
