Titre,Description,DateEvent,Nbr Participant,Nbr Restant,Link,Nbr Total
"Meet at the Dillon Drive entrance, West Side","Bayonne Women's Walking/Hiking Group • Bayonne, NJ","TUE, MAY 17 · 2:00 PM UTC+2",1 attendee,No place left,https://www.meetup.com/bayonne-walking-meetup-group/events/285932271,1
CryptoMondays & DGH Events Networking After Party at The Security Token Summit,"CryptoMondays NYC • New York, NY","TUE, MAY 17 · 12:00 AM UTC+2",300 attendees,No place left,https://www.meetup.com/cryptomondaysnyc/events/285443224,300
Create an (ETH) ERC-20 Based Token,"NYC Developing Crypto and the Blockchain • New York, NY","TUE, MAY 17 · 12:30 AM UTC+2",88 attendees,No place left,https://www.meetup.com/nyc-developing-crypto-and-the-blockchain/events/284003922,88
Building a Modern Data Analytics Stack in an hour (online),"Data Workshops • New York, NY","TUE, MAY 17 · 12:30 AM UTC+2",54 attendees,No place left,https://www.meetup.com/Data-Workshops/events/285801814,54
"Learn You Github Actions, Then Portfolio SECRETS!","NYC Bootcampers Anonymous • New York, NY","TUE, MAY 17 · 12:30 AM UTC+2",84 attendees,No place left,https://www.meetup.com/NYC-Bootcampers-Anonymous/events/284938432,84
Session 1 for Finding DND Friends,"Free DND (please be nice) • New York, NY","TUE, MAY 17 · 1:00 AM UTC+2",22 attendees,No place left,https://www.meetup.com/free-dnd-please-be-nice/events/285811423,22
''DANCE TO YOUR OWN DRUM BEAT'' - LUNAR ECLIPSE DANCE PRACTICE,"Shamanic Club • Edgewater, NJ","TUE, MAY 17 · 1:00 AM UTC+2",38 attendees,No place left,https://www.meetup.com/Edgewater-ShamanicClub/events/285659264,38
Draw Together at Radegast Hall,"Williamsburg Art Club • New York, NY","TUE, MAY 17 · 1:00 AM UTC+2",13 attendees,No place left,https://www.meetup.com/williamsburg-art-club/events/285860364,13
Brooklyn Heights Women's Book Club Monthly Meetup,"Brooklyn Heights Women's Book Club • Brooklyn, NY","TUE, MAY 17 · 1:00 AM UTC+2",6 attendees,9 spots left,https://www.meetup.com/Brooklyn-Heights-Book-Club/events/282915953,15
HWU Community Writing Session,"Harlem Writers United • New York, NY","TUE, MAY 17 · 1:00 AM UTC+2",2 attendees,No place left,https://www.meetup.com/hwunited/events/285486402,2
Monday Night Mechs #009: The Battle of Tukayyid,"Brooklyn Battletech • Brooklyn, NY","TUE, MAY 17 · 1:00 AM UTC+2",4 attendees,No place left,https://www.meetup.com/Brooklyn-Battletech-Meetup/events/285074336,4
Switch your Career to UX Design,"Mento Design Academy Group • New York, NY","TUE, MAY 17 · 6:00 PM UTC+2",146 attendees,No place left,https://www.meetup.com/mento-design-academy-group/events/285504755,146
Introduction to Python,"Code Labs Academy NYC - Coding Bootcamp • New York, NY","TUE, MAY 17 · 6:00 PM UTC+2",53 attendees,No place left,https://www.meetup.com/code-labs-academy-nyc-coding-bootcamp/events/285541983,53
"Greg Brougham - Transformation, Is it a Thing?","The Complexity Lounge • New York, NY","TUE, MAY 17 · 6:00 PM UTC+2",44 attendees,No place left,https://www.meetup.com/Complexity-Lounge/events/285677058,44
Microsoft Teams Rooms – Extending your teams journey into shared spaces,"NYC Teams Tuesday • New York, NY","TUE, MAY 17 · 6:15 PM UTC+2",12 attendees,No place left,https://www.meetup.com/NYC-Teams-Tuesday/events/285231125,12
IN-PERSON in Prospect Park,"Old, Weird & Don't Care Who Knows It • Brooklyn, NY","TUE, MAY 17 · 8:00 PM UTC+2",8 attendees,No place left,https://www.meetup.com/Old-Weird-Dont-Care-Who-Knows-It/events/285576064,8
Spanish and English FREE Dual Language Learning Hour,"Double Talkers: 2 Become Bilingual • New York, NY","TUE, MAY 17 · 11:00 PM UTC+2",14 attendees,8 spots left,https://www.meetup.com/DoubleTalkers/events/285576479,22
"Discuss ""The Dakota Winters"" IN PERSON!","Women's 'Novels of New York' Book Club • New York, NY","WED, MAY 18 · 12:00 AM UTC+2",22 attendees,No place left,https://www.meetup.com/NovelsOfNewYork/events/285114226,22
The Basics of UX UI Design,"Ironhack New York - Tech Careers, Learning and Networking • New York, NY","WED, MAY 18 · 12:00 AM UTC+2",39 attendees,No place left,https://www.meetup.com/ironhack-new-york-tech-careers-learning-and-networking/events/285552721,39
Bitcoin Happy Hour,"Blockchain Center • New York, NY","WED, MAY 18 · 12:00 AM UTC+2",65 attendees,No place left,https://www.meetup.com/blockchaincenter/events/284821234,65
Talk & Discussion: Accessibility 201 – Design Maturity Models,"SDN New York Chapter (NYC Service Design Collective) • New York, NY","WED, MAY 18 · 12:00 AM UTC+2",24 attendees,No place left,https://www.meetup.com/sdnnyc/events/285697095,24
Weimar Berlin Cabaret show,"Fabulous females seeking female friends over 50 for events • New York, NY","WED, MAY 18 · 12:20 AM UTC+2",7 attendees,1 spot left,https://www.meetup.com/fabulous-females-over-50-seekingFemalefriendsforevents/events/285153161,8
Micro Gathering,"Tribes of Humanity • Brooklyn, NY","WED, MAY 18 · 12:30 AM UTC+2",4 attendees,No place left,https://www.meetup.com/tribes-of-humanity/events/285676976,4
Veil of Maya & Born of Osiris,"Let's Go to Metal Shows • New York, NY","WED, MAY 18 · 12:30 AM UTC+2",4 attendees,7 spots left,https://www.meetup.com/lets-go-to-metal-shows/events/285489455,11
FREE Workshop on QA Automation,"NYC: Tech Career in QA Automation and Product Management • New York, NY","WED, MAY 18 · 12:30 AM UTC+2",24 attendees,1 spot left,https://www.meetup.com/qa-productmanagement-boot-camp/events/285740652,25
Low-key Poetry Writing & Drinks Meetup (All NY Poets are Welcome)!,"Poets of Queens NEW • Astoria, NY","WED, MAY 18 · 1:00 AM UTC+2",10 attendees,No place left,https://www.meetup.com/poets-of-queens-new/events/284865544,10
Lower East Side Socialist Monthly Meeting,"Manhattan Socialists • New York, NY","WED, MAY 18 · 1:00 AM UTC+2",8 attendees,No place left,https://www.meetup.com/manhattan-socialists/events/285384295,8
"Deficits, Debt, and Drinks","NYC Deficit Owls (MMT) • New York, NY","WED, MAY 18 · 1:00 AM UTC+2",6 attendees,No place left,https://www.meetup.com/Modern-Monetary-Theory-in-New-York-City/events/285322240,6
The All Star Comedy Show- A stand Up comedy show tor City Harvest!,"New York City All Star Stand Up Comedy Show Meetup Group • New York, NY","WED, MAY 18 · 1:00 AM UTC+2",2 attendees,No place left,https://www.meetup.com/new-york-city-all-star-stand-up-comedy-show-meetup-group/events/285550909,2
Tuesday night climb at Cliffs Gowanus(+ drinks @ Wild East),"Rock Climb + Chill in Brooklyn • Brooklyn, NY","WED, MAY 18 · 1:00 AM UTC+2",20 attendees,No place left,https://www.meetup.com/Casual-Rock-Climbing/events/285731649,20
Online Real Estate Investing,"Queens Investing Meetup Group • Whitestone, NY","WED, MAY 18 · 1:00 AM UTC+2",27 attendees,No place left,https://www.meetup.com/Queens-Investing-Meetup-Group/events/285553741,27
What You Need to Know about OCD and the Nice Guy Syndrome,"Integrated Men - New York • Brooklyn, NY","WED, MAY 18 · 2:00 AM UTC+2",15 attendees,No place left,https://www.meetup.com/integrated-men-new-york/events/285287434,15
Learn English in New York Manhattan !,"Learn English in New York Manhattan • New York, NY","WED, MAY 18 · 3:00 PM UTC+2",28 attendees,No place left,https://www.meetup.com/manhattan-english-as-a-second-language-meetup-group/events/285406403,28
The ML Data Engineering Conference,"NYC AI/ML/Data Developers Group • New York, NY","WED, MAY 18 · 5:00 PM UTC+2",649 attendees,No place left,https://www.meetup.com/aittg-nyc/events/284937857,649
Young Professional's Networking Gathering,"Young Professional's New to NYC • New York, NY","WED, MAY 18 · 11:00 PM UTC+2",129 attendees,No place left,https://www.meetup.com/young-professionals-new-to-nyc/events/285529628,129
Working with Large Datasets as a Data Scientist (with Python),"New York R User Group • New York, NY","WED, MAY 18 · 11:00 PM UTC+2",25 attendees,No place left,https://www.meetup.com/New-York-R-Users-Group/events/285591596,25
Tech Professionals After Work Happy Hour,"NY Tech Happy Hour • New York, NY","WED, MAY 18 · 11:00 PM UTC+2",41 attendees,No place left,https://www.meetup.com/meetup-group-grbqwgeh/events/285529575,41
May Intermediate-Advanced Amazons Sellers Meetup - WE ARE BACK!!,"New York Amazon Seller Meetup • New York, NY","THU, MAY 19 · 12:00 AM UTC+2",66 attendees,No place left,https://www.meetup.com/New-York-Amazon-Seller-Meetup/events/285392466,66
Building and Using Virtual Reality in Education,"VR in Education • New York, NY","THU, MAY 19 · 12:00 AM UTC+2",66 attendees,9 spots left,https://www.meetup.com/vr-education/events/284878756,75
SEO for Beginners,"New York SEO Meetup Group • New York, NY","THU, MAY 19 · 12:00 AM UTC+2",47 attendees,No place left,https://www.meetup.com/new-york-seo/events/285093297,47
"May 18, 2022 NYC Quantum Computing Hybrid Meetup","New York Quantum Computing Meetup • New York, NY","THU, MAY 19 · 12:00 AM UTC+2",44 attendees,6 spots left,https://www.meetup.com/New-York-Quantum-Computing-Meetup/events/285840307,50
"NFT, Web3 and Crypto Happy Hour (Sub Topic - Project Pitches)","New York NFT, Crypto, Web3 and Startup Meetup Group • New York, NY","THU, MAY 19 · 12:45 AM UTC+2",14 attendees,No place left,https://www.meetup.com/new-york-nft-web3-crypto-startup-meetup-group/events/285058610,14
Meet and Greet with JC Black Professionals,"Jersey City Black Professionals • Jersey City, NJ","THU, MAY 19 · 1:00 AM UTC+2",31 attendees,No place left,https://www.meetup.com/jersey-city-black-professionals/events/285542744,31
Choose A Cuisine and Restaurant For Our First Night Out!,"New York Food Club • New York, NY","THU, MAY 19 · 1:00 AM UTC+2",20 attendees,No place left,https://www.meetup.com/new-york-food-club/events/285819775,20
BROOKLYN Smutty Book Club - Lick by Kylie Scott,"Brooklyn Smutty Book Club • Brooklyn, NY","THU, MAY 19 · 1:00 AM UTC+2",33 attendees,No place left,https://www.meetup.com/BROOKLYN-Smutty-Book-Club/events/285373438,33
Mens Indoor Pick-up Basketball in Long Island City,"LICYSL - Men's Indoor Pickup Basketball in Hunters Point • Long Island City, NY","THU, MAY 19 · 1:00 AM UTC+2",13 attendees,9 spots left,https://www.meetup.com/LIC-Hoops-Mens-Indoor-Pickup-Basketball-in-Hunters-Point/events/285578911,22
DIR/Floortime based Autism Social Group Meetup,"DIR/Floortime based Autism Social Group Meetup • New York, NY","THU, MAY 19 · 1:15 AM UTC+2",5 attendees,No place left,https://www.meetup.com/DIR-Floortime-based-Autism-Social-Group-Meetup/events/285888319,5
Free Chinese Class - 'Do you speak Chinese?',"Free Chinese Classes • New York, NY","THU, MAY 19 · 1:30 AM UTC+2",12 attendees,No place left,https://www.meetup.com/free-chinese-classes/events/285773101,12
Learn Chinese: Do you speak Chinese?,"Chinese Chat International • New York, NY","THU, MAY 19 · 1:30 AM UTC+2",5 attendees,No place left,https://www.meetup.com/chinese-chat/events/285853343,5
Monthly Dinner (Make new female friends),"Mindful Gal Pals • Brooklyn, NY","THU, MAY 19 · 1:30 AM UTC+2",39 attendees,No place left,https://www.meetup.com/Mindful-Gal-Pals/events/285462049,39
A Post-Roe America? (a panelist discussion by legal experts),"""The NYC Political Forum"" • New York, NY","THU, MAY 19 · 2:00 AM UTC+2",43 attendees,No place left,https://www.meetup.com/NYC-Politics/events/285803030,43
Keep The Pace Run Club Community Run,"Keep The Pace Run Club • New York, NY","THU, MAY 19 · 1:15 PM UTC+2",7 attendees,No place left,https://www.meetup.com/keep-the-pace-run-club/events/285590146,7
Women in Data Science NYC @ Dataiku,"Analytics & Data Science by Dataiku NY • New York, NY","THU, MAY 19 · 9:00 PM UTC+2",89 attendees,No place left,https://www.meetup.com/AnalyticsDataScienceDataikuNY/events/285277410,89
NYC Blockchain Networking Event - Monthly 3rd Thurs. - Blockchain Cryptocurrency,"NYC Blockchain Network - Monthly 3rd Thursday Meetup • New York, NY","THU, MAY 19 · 11:00 PM UTC+2",188 attendees,No place left,https://www.meetup.com/nyc-blockchain-network-monthly-3rd-thursday-meetup/events/283992671,188
"Tech and Startup Networking Mixer (Tech, Drinks and Startups)","Startup+ NYC • New York, NY","THU, MAY 19 · 11:00 PM UTC+2",74 attendees,No place left,https://www.meetup.com/startup-plus/events/285600469,74
Thursday evening Kadima Meetup (+ MOVIE),"Adult UWS Kadima meet up • New York, NY","THU, MAY 19 · 11:30 PM UTC+2",20 attendees,No place left,https://www.meetup.com/New-York-City-UWS-Kadima-Meetup-Group/events/285846511,20
Robert Kosara: How to Show Ordinary Data in Extraordinary Ways,"Data Visualization New York • New York, NY","FRI, MAY 20 · 12:00 AM UTC+2",214 attendees,No place left,https://www.meetup.com/DataVisualization/events/285428471,214
[VIRTUAL|SUG] How to Stop avoiding conflict and start building better teams,"NYC Scrum User Group • New York, NY","FRI, MAY 20 · 12:00 AM UTC+2",50 attendees,No place left,https://www.meetup.com/NYC-Scrum-User-Group/events/283312744,50
Adult(ish) Game Night (Hybrid),"Adult(ish) at the Valley Cottage Library • Valley Cottage, NY","FRI, MAY 20 · 12:00 AM UTC+2",30 attendees,No place left,https://www.meetup.com/7eb6a8ab-02ce-4f9c-a900-9b7935f4e052/events/284224672,30
BYOB: Custom Candle Making Experience,"The Melanin Club- NYC • New York, NY","FRI, MAY 20 · 12:00 AM UTC+2",8 attendees,No place left,https://www.meetup.com/the-melanin-club-nyc/events/285606936,8
ScriptRunner – Let’s Unlock the Power of PowerShell across your organization,"New York PowerShell Meetup • New York, NY","FRI, MAY 20 · 12:30 AM UTC+2",146 attendees,No place left,https://www.meetup.com/NycPowershellMeetup/events/285079314,146
Liberty Science Center Afterdark!!!!,"50 By 50 Travel Wine And Dine And Amazing Times • Woodbridge, NJ","FRI, MAY 20 · 12:30 AM UTC+2",6 attendees,9 spots left,https://www.meetup.com/meetup-group-yaetucwl/events/285714746,15
Want to be happier and more confident?,"Self-confidence NY NJ Meetup Group • New York, NY","FRI, MAY 20 · 1:00 AM UTC+2",314 attendees,No place left,https://www.meetup.com/self-confidence-ny-nj-meetup-group/events/285380389,314
Conversation w/ MLOps Industry Veteran Yuval Fernbach,"MLOps NYC • New York, NY","FRI, MAY 20 · 1:00 AM UTC+2",45 attendees,No place left,https://www.meetup.com/MLOps-NYC/events/285703873,45
